Starte Durchlauf Nr. 30


| hour           | arr   | not   |
| 7-Sun-00       | 5068          | 19666         |
| 7-Sun-01       | 4223          | 14676         |
| 7-Sun-02       | 3644          | 14147         |
| 7-Sun-03       | 3019          | 12692         |
| 7-Sun-04       | 2091          | 9657          |
| 7-Sun-05       | 1327          | 7232          |
| 7-Sun-06       | 1314          | 5578          |
| 7-Sun-07       | 1432          | 5561          |
| 7-Sun-08       | 1833          | 7804          |
| 7-Sun-09       | 2487          | 12093         |
| 7-Sun-10       | 3880          | 11882         |
| 7-Sun-11       | 4859          | 12001         |
| 7-Sun-12       | 4703          | 16078         |
| 7-Sun-13       | 4217          | 12926         |
| 7-Sun-14       | 4336          | 14317         |
| 7-Sun-15       | 4536          | 15142         |
| 7-Sun-16       | 4903          | 14632         |
| 7-Sun-17       | 4896          | 15303         |
| 7-Sun-18       | 5604          | 15489         |
| 7-Sun-19       | 7097          | 15144         |
| 7-Sun-20       | 6419          | 15525         |
| 7-Sun-21       | 5806          | 15245         |
| 7-Sun-22       | 5799          | 15552         |
| 7-Sun-23       | 4844          | 12458         |
Dauer: 0:01:37.067737
Dauern aller Durchläufe:
0:01:32.454131
0:01:34.083157
0:01:34.746229
0:01:35.332518
0:01:34.732266
0:01:34.777117
0:01:34.215861
0:01:33.543735
0:01:35.646316
0:01:34.471212
0:01:33.751651
0:01:33.955602
0:01:35.374201
0:01:33.706670
0:01:33.863580
0:01:33.882892
0:01:33.654960
0:01:33.644266
0:01:34.898480
0:01:33.483426
0:01:33.759272
0:01:33.453400
0:01:33.701847
0:01:32.815251
0:01:34.016656
0:01:33.895496
0:01:36.768905
0:01:50.536331
0:01:45.027595
0:01:37.067737
